,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,79.25,76,18,17.16,PF,1650830174
1,egvekinot,66.3167,-179.1667,17.37,87,21,4.34,RU,1650830214
2,faanui,-16.4833,-151.75,81.3,70,14,6.85,PF,1650830215
3,tabou,4.423,-7.3528,81.81,84,100,8.43,CI,1650830215
4,sisimiut,66.9395,-53.6735,27.48,89,95,3.6,GL,1650830215
5,awjilah,29.1081,21.2869,79.84,15,55,8.01,LY,1650830138
6,punta arenas,-53.15,-70.9167,44.71,76,75,6.91,CL,1650829925
7,farmington,36.7281,-108.2187,58.15,20,13,5.99,US,1650830216
8,albany,42.6001,-73.9662,69.73,32,59,3.0,US,1650830170
9,leningradskiy,69.3833,178.4167,17.73,93,96,2.75,RU,1650829936
10,vila,42.0304,-8.1588,45.7,85,97,3.83,PT,1650830216
11,ushuaia,-54.8,-68.3,44.26,61,75,4.61,AR,1650830174
12,hithadhoo,-0.6,73.0833,84.61,72,53,10.56,MV,1650830217
13,hobart,-42.8794,147.3294,54.27,90,100,5.75,AU,1650830217
14,dikson,73.5069,80.5464,4.19,96,94,12.41,RU,1650830217
15,mataura,-46.1927,168.8643,53.47,91,100,6.04,NZ,1650830218
16,inhambane,-23.865,35.3833,75.18,88,20,0.0,MZ,1650830218
17,goure,13.9835,10.2704,91.0,13,100,7.49,NE,1650830218
18,belmonte,-15.8631,-38.8828,81.1,77,26,7.43,BR,1650830219
19,asvanyraro,47.8273,17.4942,59.14,61,37,11.12,HU,1650830219
20,aguimes,27.9054,-15.4461,63.23,63,20,4.61,ES,1650830219
21,chernyshevskiy,63.0128,112.4714,5.9,98,100,2.21,RU,1650830220
22,bluff,-46.6,168.3333,53.8,84,99,21.54,NZ,1650830220
23,bethel,41.3712,-73.414,65.35,46,58,5.01,US,1650830155
24,qaqortoq,60.7167,-46.0333,39.79,81,100,5.53,GL,1650830220
25,rikitea,-23.1203,-134.9692,72.48,91,100,11.81,PF,1650830221
26,tiksi,71.6872,128.8694,-5.58,100,100,1.63,RU,1650830221
27,amzya,56.2354,54.3868,48.02,78,100,4.34,RU,1650830221
28,chicama,-7.8447,-79.1469,61.34,63,35,10.96,PE,1650830222
29,ozernovskiy,51.5,156.5167,31.98,89,100,8.14,RU,1650830222
30,grindavik,63.8424,-22.4338,45.07,81,100,12.66,IS,1650830222
